,simulation_file_name,timestamp,simulation_initial_debt_volume,price,collateral_volume,debt_volume,available_d_l,total_liquidations,open_liquidation,ucr,min_ucr
0,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971231305404.2,19505626969.69697,0.005126725747157747,118350000.0,16254689141.414143,975281348.4848486,3250937828.282829,118492126.45143044,1.2,1.2
1,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971291772972.5,19505626969.69697,0.005119275315285919,118350000.0,16254689141.414143,0.0,3250937828.282829,0.0,1.422266914297962,1.2
2,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971346517635.0,19505626969.69697,0.005126513440506727,118350000.0,16254689141.414143,0.0,3250937828.282829,0.0,1.420258815393596,1.2
3,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971411940287.5,19505626969.69697,0.005115315918120662,118350000.0,16254689141.414143,0.0,3250937828.282829,0.0,1.4233677885506673,1.2
4,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971474214337.2,19505626969.69697,0.005112734663395139,118350000.0,16254689141.414143,0.0,3250937828.282829,0.0,1.424086401009995,1.2
5,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971527558809.2,19505626969.69697,0.005104043695719001,118350000.0,16254689141.414143,0.0,3250937828.282829,0.0,1.4265112801092057,1.2
6,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971590892851.0,19505626969.69697,0.00511759608772584,118350000.0,16254689141.414143,0.0,3250937828.282829,0.0,1.4227336001714346,1.2
7,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971650908621.8,19505626969.69697,0.0051358833483576135,118350000.0,16254689141.414143,0.0,3250937828.282829,0.0,1.4176676945830147,1.2
8,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971704005628.0,19505626969.69697,0.005145394178915742,118350000.0,16254689141.414143,0.0,3250937828.282829,0.0,1.415047254484147,1.2
9,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971769485077.5,19505626969.69697,0.005154892421580467,118350000.0,16254689141.414143,0.0,3250937828.282829,0.0,1.4124399329135013,1.2
10,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971829701042.0,19505626969.69697,0.005161955823326119,118350000.0,16254689141.414143,0.0,3250937828.282829,0.0,1.4105072099245355,1.2
11,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971885991557.2,19505626969.69697,0.005172560532396271,118350000.0,16254689141.414143,0.0,3250937828.282829,0.0,1.407615408367276,1.2
12,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971947721422.0,19505626969.69697,0.005170750690754082,118350000.0,16254689141.414143,0.0,3250937828.282829,0.0,1.408108095238992,1.2
13,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583972002759159.5,19505626969.69697,0.0051703885309180185,118350000.0,16254689141.414143,0.0,3250937828.282829,0.0,1.4082067261627382,1.2
14,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583972079710378.8,19505626969.69697,0.0051798745255537985,118350000.0,16254689141.414143,0.0,3250937828.282829,0.0,1.405627852604209,1.2
15,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583972130950036.5,19505626969.69697,0.005159030888631629,118350000.0,16254689141.414143,0.0,3250937828.282829,0.0,1.411306903038261,1.2
16,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583972189077866.0,19505626969.69697,0.005157266041547289,118350000.0,16254689141.414143,0.0,3250937828.282829,0.0,1.4117898606465888,1.2
