,simulation_file_name,timestamp,simulation_initial_debt_volume,price,collateral_volume,debt_volume,available_d_l,total_liquidations,open_liquidation,ucr,min_ucr
0,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971231305404.2,19505626969.69697,0.005126725747157747,160000000.0,19505626969.69697,195056269.69696972,0.0,0.0,1.6,1.6
1,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971291772972.5,19505626969.69697,0.0051217563853291235,160000000.0,19505626969.69697,195056269.69696972,0.0,0.0,1.6015523930323143,1.6
2,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971346517635.0,19505626969.69697,0.005126581866550156,160000000.0,19505626969.69697,195056269.69696972,0.0,0.0,1.6000449049636067,1.6
3,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971411940287.5,19505626969.69697,0.005119111312832689,160000000.0,19505626969.69697,195056269.69696972,0.0,0.0,1.6023799238140322,1.6
4,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971474214337.2,19505626969.69697,0.005117388909829797,160000000.0,19505626969.69697,195056269.69696972,0.0,0.0,1.602919250420077,1.6
5,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971527558809.2,19505626969.69697,0.005111586369131178,160000000.0,19505626969.69697,195056269.69696972,0.0,0.0,1.60473884291358,1.6
6,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971590892851.0,19505626969.69697,0.005120626647477716,160000000.0,19505626969.69697,195056269.69696972,0.0,0.0,1.601905735403079,1.6
7,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971650908621.8,19505626969.69697,0.005132810861126966,160000000.0,19505626969.69697,195056269.69696972,0.0,0.0,1.5981031480383414,1.5981031480383414
8,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971704005628.0,19505626969.69697,0.005139143712523005,160000000.0,19505626969.69697,195056269.69696972,0.0,0.0,1.596133841414865,1.596133841414865
9,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971769485077.5,19505626969.69697,0.005145464292983985,160000000.0,19505626969.69697,195056269.69696972,0.0,0.0,1.5941731840675948,1.5941731840675948
10,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971829701042.0,19505626969.69697,0.0051501624691301226,160000000.0,19505626969.69697,195056269.69696972,0.0,0.0,1.592718918018496,1.592718918018496
11,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971885991557.2,19505626969.69697,0.005157211295988016,160000000.0,19505626969.69697,195056269.69696972,0.0,0.0,1.590542005101405,1.590542005101405
12,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971947721422.0,19505626969.69697,0.0051560081749635455,160000000.0,19505626969.69697,195056269.69696972,0.0,0.0,1.5909131477493033,1.590542005101405
13,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583972002759159.5,19505626969.69697,0.005155767417830026,160000000.0,19505626969.69697,195056269.69696972,0.0,0.0,1.590987438084396,1.590542005101405
14,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583972079710378.8,19505626969.69697,0.005162069676700215,160000000.0,19505626969.69697,195056269.69696972,0.0,0.0,1.5890450360398662,1.5890450360398662
15,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583972130950036.5,19505626969.69697,0.005148203083253322,160000000.0,19505626969.69697,195056269.69696972,0.0,0.0,1.5933251005841818,1.5890450360398662
