,simulation_file_name,timestamp,simulation_initial_debt_volume,price,collateral_volume,debt_volume,available_d_l,total_liquidations,open_liquidation,ucr,min_ucr
0,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971231305404.2,19505626969.69697,0.005126725747157747,119670000.0,18855439404.040405,195056269.69696972,650187565.6565658,898717205.2393093,1.2,1.2
1,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971291772972.5,19505626969.69697,0.005116796647827925,119670000.0,18855439404.040405,0.0,650187565.6565658,843907199.5989815,1.240367778545393,1.2
2,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971346517635.0,19505626969.69697,0.005126447357051344,119670000.0,18855439404.040405,0.0,650187565.6565658,856251524.3642327,1.2380327445682324,1.2
3,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971411940287.5,19505626969.69697,0.005111528381853729,119670000.0,18855439404.040405,0.0,650187565.6565658,837148836.4111079,1.2416461803999925,1.2
4,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971474214337.2,19505626969.69697,0.0051080898355845734,119670000.0,18855439404.040405,0.0,650187565.6565658,832730199.2821428,1.2424820031788877,1.2
5,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971527558809.2,19505626969.69697,0.005096518962448405,119670000.0,18855439404.040405,0.0,650187565.6565658,817817483.9038181,1.2453028700762119,1.2
6,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971590892851.0,19505626969.69697,0.005114578162384746,119670000.0,18855439404.040405,0.0,650187565.6565658,841062925.9751954,1.2409057970825088,1.2
7,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971650908621.8,19505626969.69697,0.005138975858497996,119670000.0,18855439404.040405,0.0,650187565.6565658,872207700.2909993,1.2350144982369762,1.2
8,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971704005628.0,19505626969.69697,0.0051516724390267415,119670000.0,18855439404.040405,0.0,650187565.6565658,888298762.7583092,1.2319707369698107,1.2
9,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971769485077.5,19505626969.69697,0.005164360022183888,119670000.0,18855439404.040405,0.0,650187565.6565658,904299386.6894237,1.2289440829206482,1.2
10,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971829701042.0,19505626969.69697,0.005173799499691655,119670000.0,18855439404.040405,0.0,650187565.6565658,916152832.5105451,1.226701902869078,1.2
11,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971885991557.2,19505626969.69697,0.00518798126560522,119670000.0,18855439404.040405,0.0,650187565.6565658,933880234.257957,1.2233486141154064,1.2
12,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971947721422.0,19505626969.69697,0.005185561231528615,119670000.0,18855439404.040405,0.0,650187565.6565658,930862019.881181,1.2239195350247432,1.2
