,simulation_file_name,timestamp,simulation_initial_debt_volume,price,collateral_volume,debt_volume,available_d_l,total_liquidations,open_liquidation,ucr,min_ucr
0,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971231305404.2,19505626969.69697,0.005126725747157747,119780000.0,18530345621.212124,195056269.69696972,975281348.4848485,466151424.1910633,1.2,1.2
1,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971291772972.5,19505626969.69697,0.005116796647827925,119780000.0,18530345621.212124,0.0,975281348.4848485,429373992.7786893,1.2632887583869816,1.2
2,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971346517635.0,19505626969.69697,0.005126447357051344,119780000.0,18530345621.212124,0.0,975281348.4848485,436843240.58212805,1.2609105748959062,1.2
3,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971411940287.5,19505626969.69697,0.005111528381853729,119780000.0,18530345621.212124,0.0,975281348.4848485,425284673.1637381,1.2645907840599724,1.2
4,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971474214337.2,19505626969.69697,0.0051080898355845734,119780000.0,18530345621.212124,0.0,975281348.4848485,422611064.3356048,1.2654420521587137,1.2
5,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971527558809.2,19505626969.69697,0.005096518962448405,119780000.0,18530345621.212124,0.0,975281348.4848485,413587746.43842673,1.2683150463640893,1.2
6,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971590892851.0,19505626969.69697,0.005114578162384746,119780000.0,18530345621.212124,0.0,975281348.4848485,427652992.64941126,1.2638367190656599,1.2
7,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971650908621.8,19505626969.69697,0.005138975858497996,119780000.0,18530345621.212124,0.0,975281348.4848485,446497930.8352379,1.2578365538464475,1.2
8,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971704005628.0,19505626969.69697,0.0051516724390267415,119780000.0,18530345621.212124,0.0,975281348.4848485,456234237.62192273,1.2547365463659783,1.2
9,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971769485077.5,19505626969.69697,0.005164360022183888,119780000.0,18530345621.212124,0.0,975281348.4848485,465915822.27105373,1.251653962230878,1.2
10,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971829701042.0,19505626969.69697,0.005173799499691655,119780000.0,18530345621.212124,0.0,975281348.4848485,473088051.2788176,1.2493703485298273,1.2
11,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971885991557.2,19505626969.69697,0.00518798126560522,119780000.0,18530345621.212124,0.0,975281348.4848485,483814466.7839636,1.245955093748615,1.2
12,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971947721422.0,19505626969.69697,0.005185561231528615,119780000.0,18530345621.212124,0.0,975281348.4848485,481988219.3761258,1.2465365648083833,1.2
13,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583972002759159.5,19505626969.69697,0.005185076979944088,119780000.0,18530345621.212124,0.0,975281348.4848485,481622580.4942093,1.2466529830041042,1.2
14,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583972079710378.8,19505626969.69697,0.005197768665927284,119780000.0,18530345621.212124,0.0,975281348.4848485,491183055.2740955,1.2436089598458553,1.2
15,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583972130950036.5,19505626969.69697,0.005169918498862008,119780000.0,18530345621.212124,0.0,975281348.4848485,470142390.4370284,1.2503082370787952,1.2
16,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583972189077866.0,19505626969.69697,0.005167560672237829,119780000.0,18530345621.212124,0.0,975281348.4848485,468350650.87389576,1.2508787209563534,1.2
17,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583972244237720.0,19505626969.69697,0.005152283000880286,119780000.0,18530345621.212124,0.0,975281348.4848485,456701234.53874964,1.2545878561113224,1.2
18,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583972314510725.2,19505626969.69697,0.005176578410704949,119780000.0,18530345621.212124,0.0,975281348.4848485,475194517.72582734,1.2486996566662534,1.2
19,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583972367328362.8,19505626969.69697,0.005174585635203721,119780000.0,18530345621.212124,0.0,975281348.4848485,473684186.1668997,1.2491805411775208,1.2
20,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583972427878395.0,19505626969.69697,0.005169939728727002,119780000.0,18530345621.212124,0.0,975281348.4848485,470158515.83169246,1.2503031028071276,1.2
21,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583972495728457.8,19505626969.69697,0.005167586578567029,119780000.0,18530345621.212124,0.0,975281348.4848485,468370346.27505827,1.25087245000657,1.2
22,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583972541161138.2,19505626969.69697,0.005165146714774142,119780000.0,18530345621.212124,0.0,975281348.4848485,466514562.1485101,1.2514633254586773,1.2
23,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583972601741206.2,19505626969.69697,0.005170867884012165,119780000.0,18530345621.212124,0.0,975281348.4848485,470863377.7010431,1.2500786771480394,1.2
24,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583972667172548.5,19505626969.69697,0.005178573369445435,119780000.0,18530345621.212124,0.0,975281348.4848485,476705339.6721018,1.2482186160172966,1.2
25,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583972738273484.5,19505626969.69697,0.005178029455553059,119780000.0,18530345621.212124,0.0,975281348.4848485,476293538.29148227,1.248349732198037,1.2
26,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583972791526108.8,19505626969.69697,0.0051712617377517945,119780000.0,18530345621.212124,0.0,975281348.4848485,471162402.5703317,1.2499834686308933,1.2
27,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583972843000490.0,19505626969.69697,0.005174726959575999,119780000.0,18530345621.212124,0.0,975281348.4848485,473791334.7282161,1.2491464254343672,1.2
28,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583972924238655.0,19505626969.69697,0.005167347345339375,119780000.0,18530345621.212124,0.0,975281348.4848485,468188460.64882594,1.2509303617809486,1.2
29,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583972969339658.5,19505626969.69697,0.005160616044083525,119780000.0,18530345621.212124,0.0,975281348.4848485,463063835.29410315,1.2525620253349328,1.2
30,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583973027579442.2,19505626969.69697,0.005152311925110758,119780000.0,18530345621.212124,0.0,975281348.4848485,456723354.90193415,1.2545808130617508,1.2
31,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583973090140183.2,19505626969.69697,0.005165840523826011,119558321.49186607,17555064272.727276,195056269.69696972,1950562696.969697,271986188.73183715,1.251295245050604,1.2
32,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583973158799658.5,19505626969.69697,0.005174577611995616,119558321.49186607,17555064272.727276,0.0,1950562696.969697,249516414.09053576,1.3161411875078566,1.2
33,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583973207996163.8,19505626969.69697,0.00517635401633706,119558321.49186607,17555064272.727276,0.0,1950562696.969697,250860325.83040354,1.315689518454298,1.2
34,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583973275985333.5,19505626969.69697,0.0051779829028605956,119558321.49186607,17555064272.727276,0.0,1950562696.969697,252091824.77837896,1.315275629693757,1.2
35,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583973320740131.2,19505626969.69697,0.00517769955639337,119558321.49186607,17555064272.727276,0.0,1950562696.969697,251877659.95398185,1.315347607354694,1.2
36,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583973392531439.5,19505626969.69697,0.005177171503806984,119558321.49186607,17555064272.727276,0.0,1950562696.969697,251478473.70412865,1.3154817680070015,1.2
37,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583973456290807.5,19505626969.69697,0.0051763272069431125,119558321.49186607,17555064272.727276,0.0,1950562696.969697,250840050.44574434,1.3156963327141398,1.2
38,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583973506273405.5,19505626969.69697,0.005175422797120999,119558321.49186607,17555064272.727276,0.0,1950562696.969697,250155941.11785245,1.3159262518401456,1.2
39,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583973577607777.2,19505626969.69697,0.005178548651395627,119558321.49186607,17555064272.727276,0.0,1950562696.969697,252519370.4979901,1.3151319378390014,1.2
