,simulation_file_name,timestamp,simulation_initial_debt_volume,price,collateral_volume,debt_volume,available_d_l,total_liquidations,open_liquidation,ucr,min_ucr
0,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971231305404.2,19505626969.69697,0.005126725747157747,117800000.0,17067423598.48485,975281348.4848486,2438203371.2121215,650187565.656566,1.2,1.2
1,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971291772972.5,19505626969.69697,0.005116796647827925,117800000.0,17067423598.48485,0.0,2438203371.2121215,363406908.10883296,1.3488981699886662,1.2
2,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971346517635.0,19505626969.69697,0.005126447357051344,117800000.0,17067423598.48485,0.0,2438203371.2121215,381465281.1272357,1.3463588239066941,1.2
3,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971411940287.5,19505626969.69697,0.005111528381853729,117800000.0,17067423598.48485,0.0,2438203371.2121215,353520175.0747185,1.350288430161501,1.2
4,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971474214337.2,19505626969.69697,0.0051080898355845734,117800000.0,17067423598.48485,0.0,2438203371.2121215,347056200.817297,1.3511973862279096,1.2
5,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971527558809.2,19505626969.69697,0.005096518962448405,117800000.0,17067423598.48485,0.0,2438203371.2121215,325240558.23333585,1.3542650749097653,1.2
6,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971590892851.0,19505626969.69697,0.005114578162384746,117800000.0,17067423598.48485,0.0,2438203371.2121215,359246052.4086228,1.34948326437171,1.2
7,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971650908621.8,19505626969.69697,0.005138975858497996,117800000.0,17067423598.48485,0.0,2438203371.2121215,404807390.340364,1.3430764853751491,1.2
8,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971704005628.0,19505626969.69697,0.0051516724390267415,117800000.0,17067423598.48485,0.0,2438203371.2121215,428346823.54735994,1.3397663993876072,1.2
9,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971769485077.5,19505626969.69697,0.005164360022183888,117800000.0,17067423598.48485,0.0,2438203371.2121215,451753955.24310374,1.3364749174749666,1.2
10,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971829701042.0,19505626969.69697,0.005173799499691655,117800000.0,17067423598.48485,0.0,2438203371.2121215,469094227.0086185,1.3340365499031364,1.2
11,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971885991557.2,19505626969.69697,0.00518798126560522,117800000.0,17067423598.48485,0.0,2438203371.2121215,495027442.432683,1.3303898532204994,1.2
12,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971947721422.0,19505626969.69697,0.005185561231528615,117800000.0,17067423598.48485,0.0,2438203371.2121215,490612130.773129,1.3310107288858735,1.2
13,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583972002759159.5,19505626969.69697,0.005185076979944088,117800000.0,17067423598.48485,0.0,2438203371.2121215,489728126.9894237,1.3311350364047354,1.2
14,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583972079710378.8,19505626969.69697,0.005197768665927284,117800000.0,17067423598.48485,0.0,2438203371.2121215,512842451.7985038,1.3278847286343982,1.2
15,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583972130950036.5,19505626969.69697,0.005169918498862008,117800000.0,17067423598.48485,0.0,2438203371.2121215,461972513.5956249,1.3350379964362091,1.2
16,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583972189077866.0,19505626969.69697,0.005167560672237829,117800000.0,17067423598.48485,0.0,2438203371.2121215,457640631.425645,1.3356471403499321,1.2
17,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583972244237720.0,19505626969.69697,0.005152283000880286,117800000.0,17067423598.48485,0.0,2438203371.2121215,429475880.2803035,1.339607632826068,1.2
18,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583972314510725.2,19505626969.69697,0.005176578410704949,117800000.0,17067423598.48485,0.0,2438203371.2121215,474187023.21138155,1.3333204071991074,1.2
19,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583972367328362.8,19505626969.69697,0.005174585635203721,117800000.0,17067423598.48485,0.0,2438203371.2121215,470535500.14101106,1.333833879857609,1.2
20,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583972427878395.0,19505626969.69697,0.005169939728727002,117800000.0,17067423598.48485,0.0,2438203371.2121215,462011499.9031589,1.3350325142298562,1.2
