,simulation_file_name,timestamp,simulation_initial_debt_volume,price,collateral_volume,debt_volume,available_d_l,total_liquidations,open_liquidation,ucr,min_ucr
0,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971231305404.2,19505626969.69697,0.005126725747157747,119890000.0,17555064272.727276,195056269.69696972,1950562696.969697,107356551.53864232,1.2,1.2
1,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971291772972.5,19505626969.69697,0.005116796647827925,119890000.0,17555064272.727276,0.0,1950562696.969697,88869367.7751658,1.3346960611200576,1.2
2,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971346517635.0,19505626969.69697,0.005126447357051344,119890000.0,17555064272.727276,0.0,1950562696.969697,92288672.61375897,1.3321834509847374,1.2
3,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971411940287.5,19505626969.69697,0.005111528381853729,119890000.0,17555064272.727276,0.0,1950562696.969697,86997341.20516519,1.336071683696987,1.2
4,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971474214337.2,19505626969.69697,0.0051080898355845734,119890000.0,17555064272.727276,0.0,1950562696.969697,85773404.89415777,1.336971069661442,1.2
5,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971527558809.2,19505626969.69697,0.005096518962448405,119890000.0,17555064272.727276,0.0,1950562696.969697,81642671.06955773,1.3400064596497385,1.2
6,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971590892851.0,19505626969.69697,0.005114578162384746,119890000.0,17555064272.727276,0.0,1950562696.969697,88081520.8293795,1.3352749952351797,1.2
7,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971650908621.8,19505626969.69697,0.005138975858497996,119890000.0,17555064272.727276,0.0,1950562696.969697,96708438.82935797,1.3289356711250078,1.2
8,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971704005628.0,19505626969.69697,0.0051516724390267415,119890000.0,17555064272.727276,0.0,1950562696.969697,101165567.81768963,1.3256604359531943,1.2
9,c:\dev\monitor-backend_for_badger\simulations\data_worst_day\data_unified_2020_03_ETHUSDT.csv,1583971769485077.5,19505626969.69697,0.005164360022183888,119890000.0,17555064272.727276,0.0,1950562696.969697,105597645.86720611,1.3224036089800464,1.2
